ID,Sex,Marital status,Age,Income,Settlement size,Education_highschool,Education_other_unknown,Education_university,Occupation_skilledemployee_official,Occupation_unemployed_unskilled
1,0,0,67,124670,2,False,False,True,True,False
2,1,1,22,150773,2,True,False,False,True,False
3,0,0,49,89210,0,True,False,False,False,True
4,0,0,45,171565,1,True,False,False,True,False
5,0,0,53,149031,1,True,False,False,True,False
6,0,0,35,144848,0,True,False,False,False,True
7,0,0,53,156495,1,True,False,False,True,False
8,0,0,35,193621,1,True,False,False,False,False
9,0,1,61,151591,0,False,False,True,False,True
10,0,1,28,174646,0,True,False,False,False,False
11,1,1,25,108469,0,True,False,False,True,False
12,1,1,24,127596,0,True,False,False,True,False
13,1,1,22,108687,2,True,False,False,True,False
14,0,0,60,89374,0,False,False,True,False,True
15,1,1,28,102899,1,True,False,False,True,False
16,1,1,32,88428,0,True,False,False,False,True
17,0,0,53,125550,0,True,False,False,True,False
18,0,0,25,157434,2,False,True,False,True,False
19,1,1,44,261952,2,False,False,True,False,False
20,0,0,31,144657,1,False,True,False,True,False
21,0,0,48,118777,1,True,False,False,True,False
22,0,0,44,147511,1,True,False,False,True,False
23,0,0,48,89804,0,True,False,False,False,True
24,0,0,44,134918,2,True,False,False,True,False
25,0,1,26,103667,2,True,False,False,True,False
26,0,0,36,71909,0,True,False,False,False,True
27,0,1,39,68264,0,True,False,False,False,True
28,1,1,42,163025,1,False,False,True,True,False
29,0,0,34,119307,1,True,False,False,True,False
30,0,0,63,175882,0,False,False,True,True,False
31,0,1,36,159646,1,True,False,False,True,False
32,0,0,27,120131,1,False,True,False,True,False
33,0,0,30,162745,2,False,True,False,True,False
34,0,0,57,87605,0,False,False,True,False,True
35,1,1,33,155569,1,True,False,False,False,False
36,0,0,25,104505,0,False,True,False,False,True
37,0,0,31,143385,2,False,True,False,True,False
38,0,0,37,127676,1,True,False,False,True,False
39,0,0,37,119276,1,True,False,False,True,False
40,0,0,24,92542,1,False,True,False,True,False
41,0,0,30,163329,1,False,True,False,False,False
42,0,1,26,130921,0,True,False,False,True,False
43,0,0,44,133658,0,True,False,False,False,True
44,0,1,24,155104,1,True,False,False,True,False
45,1,1,58,142335,1,False,False,True,False,True
46,1,1,35,138387,1,True,False,False,False,False
47,0,0,39,140182,0,True,False,False,True,False
48,1,1,23,65421,0,True,False,False,False,True
49,0,0,39,130500,0,True,False,False,False,True
50,1,1,28,122831,0,True,False,False,True,False
51,0,0,29,84531,0,False,True,False,False,True
52,0,0,30,180196,2,False,True,False,False,False
53,0,0,25,92058,2,False,True,False,True,False
54,0,0,31,117158,0,False,True,False,True,False
55,0,0,57,135830,1,False,False,True,True,False
56,0,0,26,58258,0,False,True,False,False,True
57,0,0,52,202575,2,True,False,False,False,False
58,1,1,31,183657,1,True,False,False,True,False
59,1,1,23,152267,1,True,False,False,False,False
60,1,1,23,115240,0,True,False,False,False,True
61,0,1,27,106955,2,True,False,False,True,False
62,0,0,50,123641,1,True,False,False,True,False
63,0,0,61,166410,1,False,False,True,False,False
64,0,0,25,227385,2,False,True,False,True,False
65,1,1,26,118372,1,True,False,False,True,False
66,0,0,48,148115,1,True,False,False,True,False
67,1,1,29,111069,0,True,False,False,True,False
68,0,1,22,139780,0,True,False,False,True,False
69,0,0,37,106978,2,True,False,False,True,False
70,1,1,25,110019,2,True,False,False,True,False
71,1,1,30,169102,1,True,False,False,True,False
72,0,0,46,73703,0,True,False,False,False,True
73,0,0,51,141858,2,True,False,False,False,False
74,1,1,41,135959,0,False,False,True,False,True
75,0,0,40,140888,2,True,False,False,False,False
76,0,0,66,157299,2,False,False,True,False,False
77,0,0,34,125187,1,True,False,False,True,False
78,0,0,51,155486,2,True,False,False,True,False
79,0,0,39,151697,0,True,False,False,False,True
80,0,1,22,126400,1,True,False,False,True,False
81,1,1,44,159246,2,False,False,True,True,False
82,0,0,47,136138,1,True,False,False,True,False
83,1,1,24,84792,0,True,False,False,False,True
84,1,1,58,100210,0,False,False,True,False,True
85,0,0,52,93706,0,True,False,False,False,True
86,1,1,29,133783,1,True,False,False,False,False
87,1,1,27,110064,2,True,False,False,True,False
88,0,0,47,241068,1,True,False,False,True,False
89,0,0,30,149022,2,False,True,False,False,False
90,0,0,28,92973,2,False,True,False,True,False
91,0,0,56,110605,1,True,False,False,True,False
92,0,0,54,116604,1,True,False,False,True,False
93,1,1,33,71070,0,True,False,False,False,True
94,0,0,20,128678,1,False,True,False,True,False
95,0,0,54,165230,2,True,False,False,True,False
96,0,0,58,268340,1,False,False,True,True,False
97,1,1,61,135070,1,False,False,True,True,False
98,0,0,34,134794,2,True,False,False,True,False
99,0,0,36,120153,1,True,False,False,True,False
100,0,0,36,195465,2,True,False,False,False,False
101,0,1,41,93372,0,True,False,False,False,True
102,0,0,24,110446,0,False,True,False,True,False
103,1,1,24,95186,1,True,False,False,True,False
104,0,0,35,115343,1,True,False,False,True,False
105,0,1,26,107276,1,True,False,False,True,False
106,0,0,39,244716,2,True,False,False,False,False
107,0,0,39,183108,2,True,False,False,False,False
108,0,0,32,152876,2,False,True,False,True,False
109,1,1,30,165147,0,True,False,False,True,False
110,0,1,35,140520,0,True,False,False,True,False
111,0,1,31,124203,1,True,False,False,True,False
112,1,1,23,107205,1,True,False,False,True,False
113,0,0,28,121432,2,False,True,False,False,True
114,1,1,25,162445,0,True,False,False,True,False
115,0,1,35,134112,1,True,False,False,True,False
116,0,0,47,131842,1,True,False,False,True,False
117,1,1,30,189896,0,True,False,False,False,False
118,1,1,27,109099,2,True,False,False,True,False
119,1,1,23,153539,1,True,False,False,True,False
120,0,1,36,180495,1,True,False,False,False,False
121,1,1,25,104653,2,True,False,False,True,False
122,1,1,41,166933,2,False,False,True,False,False
123,0,0,24,66118,0,False,True,False,False,True
124,0,0,63,135754,0,False,False,True,True,False
125,1,1,27,116103,2,True,False,False,True,False
126,0,0,30,104293,1,False,True,False,True,False
127,0,1,40,71702,0,True,False,False,False,True
128,0,0,30,99066,2,False,True,False,True,False
129,0,0,34,143979,2,True,False,False,False,False
130,1,1,29,123818,0,True,False,False,True,False
131,1,1,24,176714,2,True,False,False,True,False
132,0,0,29,149249,2,False,True,False,True,False
133,0,0,27,77535,0,False,True,False,False,True
134,0,0,47,116540,1,True,False,False,True,False
135,1,1,21,194728,0,True,False,False,True,False
136,1,1,38,109311,2,True,False,False,True,False
137,0,0,27,204723,2,False,True,False,True,False
138,0,0,66,126003,0,False,False,True,False,True
139,0,0,35,123109,1,True,False,False,True,False
140,1,1,44,108251,0,False,False,True,False,True
141,0,1,27,89908,0,True,False,False,False,True
142,1,1,30,176057,1,True,False,False,False,False
143,0,0,27,144332,2,False,True,False,False,False
144,0,0,22,101185,1,False,True,False,True,False
145,1,1,23,107406,2,True,False,False,True,False
146,0,0,30,140665,1,False,True,False,True,False
147,1,1,39,106461,0,False,False,True,True,False
148,1,1,51,127825,0,False,False,True,True,False
149,0,0,28,133898,1,False,True,False,True,False
150,0,0,46,152383,2,True,False,False,True,False
151,0,0,42,119926,0,True,False,False,True,False
152,0,0,38,108784,2,True,False,False,True,False
153,0,0,24,153286,1,False,True,False,True,False
154,1,1,29,214204,2,True,False,False,True,False
155,0,0,36,208101,2,True,False,False,False,False
156,1,1,20,95355,1,True,False,False,True,False
157,0,0,48,124156,1,True,False,False,True,False
158,0,1,45,72215,0,False,False,True,False,True
159,0,0,38,146529,2,True,False,False,True,False
160,0,0,34,75343,0,True,False,False,False,True
161,0,0,36,129789,1,True,False,False,True,False
162,1,1,30,101153,1,True,False,False,True,False
163,0,0,36,127833,2,True,False,False,True,False
164,0,0,70,224998,2,False,False,True,False,False
165,0,0,36,124445,2,True,False,False,True,False
166,0,0,32,141116,1,False,True,False,True,False
167,1,1,33,104276,2,True,False,False,True,False
168,1,1,20,147687,2,True,False,False,True,False
169,1,1,25,125168,1,True,False,False,True,False
170,0,1,31,115369,2,True,False,False,True,False
171,0,0,33,95445,0,True,False,False,True,False
172,1,1,26,95159,1,True,False,False,True,False
173,1,1,34,153031,2,True,False,False,False,False
174,0,0,33,108899,0,True,False,False,True,False
175,0,0,26,113515,1,False,True,False,True,False
176,1,1,53,211229,0,False,False,True,False,False
177,0,1,42,121307,0,False,False,True,True,False
178,0,0,52,131727,2,True,False,False,True,False
179,0,0,31,133574,1,False,True,False,False,False
180,0,0,65,117334,0,False,False,True,True,False
181,0,1,28,177291,2,True,False,False,True,False
182,0,1,30,168763,1,True,False,False,False,False
183,0,0,40,77720,0,True,False,False,False,True
184,0,0,50,176645,2,True,False,False,True,False
185,0,0,36,106205,1,True,False,False,True,False
186,0,0,31,97785,1,False,True,False,True,False
187,1,1,74,214364,1,False,False,False,False,False
188,0,0,68,74525,0,False,False,True,False,True
189,0,1,20,98988,0,True,False,False,True,False
190,1,1,33,133561,1,True,False,False,True,False
191,0,0,54,217651,2,True,False,False,False,False
192,0,0,34,116525,0,True,False,False,False,True
193,0,0,36,135302,2,True,False,False,True,False
194,0,1,29,106434,1,True,False,False,True,False
195,0,0,21,128350,2,False,True,False,True,False
196,1,1,34,147626,2,True,False,False,False,False
197,1,1,28,102697,0,True,False,False,True,False
198,1,1,27,120262,0,True,False,False,True,False
199,0,0,36,124214,2,True,False,False,True,False
200,0,1,40,175223,1,True,False,False,False,False
201,0,0,52,137467,0,True,False,False,True,False
202,0,1,27,65815,0,True,False,False,False,True
203,0,0,26,129864,1,False,True,False,True,False
204,0,1,21,88475,1,True,False,False,True,False
205,0,0,38,74666,0,True,False,False,False,True
206,0,0,38,222294,2,True,False,False,False,False
207,0,0,43,112878,0,True,False,False,True,False
208,0,0,26,103411,2,False,True,False,True,False
209,0,1,21,112868,0,True,False,False,False,True
210,0,0,55,157940,2,True,False,False,True,False
211,0,0,33,115835,2,True,False,False,True,False
212,1,1,45,109807,0,False,False,True,False,True
213,0,0,50,150699,1,True,False,False,True,False
214,0,0,66,178967,0,False,False,True,False,False
215,0,0,51,132767,0,True,False,False,True,False
216,1,1,39,86152,0,False,False,True,False,True
217,0,0,31,114528,2,False,True,False,True,False
218,0,0,23,133912,1,False,True,False,True,False
219,0,1,24,81210,0,True,False,False,False,True
220,1,1,64,131242,0,False,False,False,True,False
221,0,1,26,68804,0,True,False,False,False,True
222,1,1,23,96961,1,True,False,False,True,False
223,0,0,30,90719,2,False,True,False,True,False
224,0,0,32,114116,1,False,True,False,True,False
225,0,0,30,128639,1,False,True,False,True,False
226,0,0,27,106623,1,False,True,False,True,False
227,0,0,27,236264,1,False,True,False,True,False
228,0,0,53,207783,1,True,False,False,False,False
229,0,0,22,91739,1,False,True,False,True,False
230,0,0,22,107780,2,False,True,False,True,False
231,0,0,26,139157,2,False,True,False,True,False
232,0,0,51,121751,0,True,False,False,False,True
233,0,0,35,121974,0,True,False,False,True,False
234,0,1,25,70320,0,True,False,False,False,True
235,0,0,42,78327,0,True,False,False,False,True
236,0,0,30,131433,0,False,True,False,False,False
237,0,0,23,167076,2,False,True,False,False,True
238,0,1,61,130788,0,False,False,True,False,True
239,1,1,35,107408,1,True,False,False,True,False
240,0,0,39,115323,1,True,False,False,True,False
241,1,1,29,99012,0,True,False,False,True,False
242,0,0,51,115996,1,True,False,False,True,False
243,0,0,24,123353,1,False,True,False,True,False
244,1,1,27,100008,0,True,False,False,True,False
245,1,1,35,125105,0,True,False,False,False,True
246,0,0,25,92020,2,False,True,False,True,False
247,0,0,52,108365,2,True,False,False,True,False
248,0,0,35,112979,0,True,False,False,True,False
249,0,0,26,117221,1,False,True,False,True,False
250,1,1,22,88800,2,True,False,False,True,False
251,1,1,39,115099,0,False,False,True,False,True
252,1,1,46,113399,0,False,False,True,False,True
253,1,1,24,115879,1,True,False,False,True,False
254,0,0,35,141270,2,True,False,False,True,False
255,0,0,24,107633,1,False,True,False,True,False
256,0,0,27,131751,0,False,True,False,False,True
257,0,0,35,83687,0,True,False,False,False,True
258,0,1,29,106828,2,True,False,False,True,False
259,1,1,23,135537,1,True,False,False,True,False
260,1,1,57,107142,0,False,False,True,False,True
261,0,0,27,97446,1,False,True,False,True,False
262,1,1,55,126357,2,False,False,True,True,False
263,0,0,36,169617,1,True,False,False,False,False
264,1,1,57,108945,0,False,False,True,False,True
265,0,0,32,67345,0,False,True,False,False,True
266,0,0,37,106215,0,True,False,False,True,False
267,0,0,36,149237,0,True,False,False,True,False
268,1,1,38,112124,0,True,False,False,True,False
269,0,1,45,215150,2,False,False,True,False,False
270,0,0,25,89534,1,False,True,False,True,False
271,0,0,32,111082,2,False,True,False,True,False
272,1,1,37,137069,1,True,False,False,True,False
273,0,0,36,244541,2,True,False,False,False,False
274,0,0,28,120712,1,False,True,False,True,False
275,0,1,34,175367,0,True,False,False,False,True
276,0,0,32,111418,1,False,True,False,True,False
277,1,1,26,110913,0,True,False,False,True,False
278,0,1,49,84267,0,False,False,True,False,True
279,1,1,32,136886,2,True,False,False,True,False
280,0,0,29,144884,2,False,True,False,False,False
281,0,0,23,151180,1,False,True,False,True,False
282,0,0,50,114997,1,True,False,False,True,False
283,0,0,49,100961,0,True,False,False,False,True
284,0,0,63,124849,2,False,False,True,True,False
285,0,1,37,152308,2,True,False,False,True,False
286,1,1,35,167945,1,True,False,False,False,True
287,0,0,26,126706,2,False,True,False,True,False
288,0,0,31,210017,2,False,True,False,False,False
289,1,1,49,125665,1,False,False,True,True,False
290,0,1,48,111184,1,False,False,True,True,False
291,0,1,26,94134,0,True,False,False,True,False
292,0,1,28,214620,1,True,False,False,False,False
293,1,1,44,193816,1,False,False,True,False,False
294,0,0,56,168714,1,True,False,False,True,False
295,0,1,46,202997,1,False,False,True,False,False
296,1,1,26,192451,2,True,False,False,True,False
297,1,1,20,127928,2,True,False,False,True,False
298,0,0,45,78253,0,True,False,False,False,True
299,0,0,43,118446,1,True,False,False,True,False
300,0,0,32,161379,2,False,True,False,True,False
301,1,1,54,56622,0,False,False,True,False,True
302,1,1,42,146117,1,False,False,True,True,False
303,0,0,37,90418,0,True,False,False,False,True
304,0,0,49,109053,0,True,False,False,True,False
305,0,0,44,219319,0,True,False,False,True,False
306,0,1,33,144701,1,True,False,False,True,False
307,1,1,24,102425,0,True,False,False,False,True
308,0,1,33,79867,0,True,False,False,False,True
309,1,1,24,107114,2,True,False,False,True,False
310,0,1,22,62263,0,True,False,False,False,True
311,0,0,40,92567,0,True,False,False,False,True
312,0,0,25,146349,0,False,True,False,True,False
313,1,1,26,141825,1,True,False,False,True,False
314,0,1,25,68582,0,True,False,False,False,True
315,0,0,29,85476,0,False,True,False,False,True
316,0,0,31,111091,2,False,True,False,True,False
317,0,0,38,67110,0,True,False,False,False,True
318,1,1,48,126154,0,False,False,True,False,True
319,0,0,32,92257,2,False,True,False,True,False
320,1,1,27,93605,0,True,False,False,False,True
321,0,1,28,165190,0,True,False,False,False,False
322,0,1,32,107195,0,True,False,False,True,False
323,0,0,34,145059,0,True,False,False,False,False
324,0,0,28,148363,0,False,True,False,True,False
325,1,1,36,105681,2,True,False,False,True,False
326,0,0,39,93732,0,True,False,False,False,True
327,0,0,49,154778,2,True,False,False,True,False
328,1,1,34,149356,2,True,False,False,True,False
329,0,0,31,145670,1,False,True,False,True,False
330,0,0,28,101589,2,False,True,False,True,False
331,0,0,75,213333,1,False,False,True,False,False
332,1,1,30,122420,0,True,False,False,True,False
333,1,1,24,209856,1,True,False,False,False,False
334,1,1,24,181003,0,True,False,False,False,True
335,0,0,23,117804,1,False,True,False,True,False
336,0,1,44,160650,1,False,False,True,False,False
337,1,1,23,84611,0,True,False,False,False,True
338,1,1,24,98479,2,True,False,False,True,False
339,0,0,28,122359,2,False,True,False,True,False
340,0,1,31,81394,0,True,False,False,False,True
341,1,1,24,150372,1,True,False,False,True,False
342,1,1,26,92385,0,True,False,False,False,True
343,0,1,25,149851,2,True,False,False,True,False
344,0,0,33,167939,1,True,False,False,False,False
345,0,0,37,115426,0,True,False,False,False,True
346,1,1,43,85402,0,False,False,True,False,True
347,0,0,23,95815,2,False,True,False,True,False
348,1,1,23,97518,0,True,False,False,False,True
349,0,0,34,87355,0,True,False,False,False,True
350,0,0,32,145933,1,False,True,False,True,False
351,1,1,23,97307,0,True,False,False,True,False
352,1,1,29,108434,2,True,False,False,True,False
353,0,0,38,151312,1,True,False,False,False,False
354,0,0,28,141847,1,False,True,False,True,False
355,0,0,46,130675,2,True,False,False,True,False
356,0,0,23,69309,0,False,True,False,False,True
357,0,0,49,121466,2,True,False,False,True,False
358,0,0,26,153586,2,False,True,False,False,False
359,0,1,28,92849,0,True,False,False,True,False
360,1,1,23,108539,2,True,False,False,True,False
361,0,0,61,129556,2,False,False,True,True,False
362,0,0,37,170146,0,True,False,False,False,False
363,1,1,36,135383,1,True,False,False,True,False
364,0,1,21,96769,2,True,False,False,True,False
365,0,0,25,43684,0,False,True,False,False,True
366,0,0,36,103521,0,True,False,False,True,False
367,0,0,27,118499,1,False,True,False,True,False
368,1,1,22,119684,2,True,False,False,True,False
369,0,0,42,126586,1,True,False,False,True,False
370,1,1,40,136812,2,False,False,True,True,False
371,0,0,36,118277,1,True,False,False,True,False
372,0,0,33,144597,1,True,False,False,True,False
373,1,1,23,106043,0,True,False,False,True,False
374,0,0,63,272314,2,False,False,True,False,False
375,1,1,60,309364,2,False,False,True,False,False
376,1,1,37,170386,1,True,False,False,True,False
377,0,1,34,112458,0,True,False,False,True,False
378,0,0,36,96840,1,True,False,False,True,False
379,0,0,57,281923,1,False,False,True,False,False
380,1,1,52,95551,0,False,False,True,False,True
381,0,0,39,112347,2,True,False,False,True,False
382,1,1,38,260977,2,True,False,False,False,False
383,1,1,25,99354,0,True,False,False,True,False
384,0,0,26,111509,2,False,True,False,True,False
385,0,0,26,105252,0,False,True,False,False,True
386,1,1,25,108522,0,True,False,False,True,False
387,1,1,21,94655,1,True,False,False,True,False
388,0,0,40,201699,1,True,False,False,False,False
389,0,0,27,139868,2,False,True,False,True,False
390,1,1,27,102543,1,True,False,False,True,False
391,0,1,30,134467,2,True,False,False,False,False
392,1,1,19,111187,0,True,False,False,False,True
393,0,0,39,152302,1,True,False,False,False,False
394,1,1,31,110610,2,True,False,False,True,False
395,0,0,31,137827,2,False,True,False,False,False
396,0,0,32,220923,2,False,True,False,True,False
397,1,1,55,165717,2,False,False,True,False,False
398,0,1,46,122299,0,False,False,True,True,False
399,0,1,46,120499,0,False,False,True,True,False
400,1,1,43,126449,0,False,False,True,False,True
401,0,1,39,108315,2,True,False,False,True,False
402,0,1,28,112515,1,True,False,False,True,False
403,0,0,27,164559,1,False,True,False,True,False
404,0,0,27,59238,0,False,True,False,False,True
405,0,0,43,131133,0,True,False,False,True,False
406,0,1,22,109188,0,True,False,False,True,False
407,0,0,43,115393,1,True,False,False,True,False
408,0,1,27,94711,2,True,False,False,True,False
409,0,1,26,171860,0,True,False,False,False,False
410,0,1,28,139414,2,True,False,False,True,False
411,1,1,20,110931,1,True,False,False,True,False
412,0,0,35,187549,2,True,False,False,False,False
413,0,0,42,145508,0,True,False,False,False,False
414,0,0,40,104240,0,True,False,False,False,True
415,1,1,35,108272,1,True,False,False,True,False
416,0,0,35,144004,2,True,False,False,True,False
417,0,0,33,81083,0,True,False,False,False,True
418,1,1,23,166763,1,True,False,False,True,False
419,1,1,31,175530,1,True,False,False,False,False
420,1,1,33,112422,1,True,False,False,True,False
421,1,1,20,154134,2,True,False,False,True,False
422,0,0,30,112401,1,False,True,False,True,False
423,0,0,47,85690,0,True,False,False,False,True
424,0,0,34,145896,2,True,False,False,False,False
425,1,1,25,122552,2,True,False,False,True,False
426,0,1,21,115494,2,True,False,False,True,False
427,0,0,29,109467,0,False,True,False,True,False
428,0,0,46,148226,2,True,False,False,True,False
429,0,0,20,88559,1,False,True,False,True,False
430,1,1,55,62393,0,False,False,True,False,True
431,0,0,74,122133,0,False,False,True,False,True
432,0,0,29,230883,2,False,True,False,False,False
433,0,0,36,136689,2,True,False,False,False,False
434,0,1,33,109145,0,True,False,False,True,False
435,0,0,25,100449,2,False,True,False,True,False
436,0,1,25,106253,0,True,False,False,True,False
437,0,1,23,84747,0,True,False,False,False,True
438,1,1,37,149465,1,True,False,False,True,False
439,0,0,65,84435,0,False,False,True,False,True
440,1,1,26,51681,0,True,False,False,False,True
441,0,0,39,139198,1,True,False,False,False,False
442,1,1,30,106577,1,True,False,False,True,False
443,0,0,29,117372,2,False,True,False,True,False
444,0,0,41,69609,0,True,False,False,False,True
445,1,1,30,178947,2,True,False,False,False,False
446,1,1,41,81743,0,False,False,True,False,True
447,1,1,34,111900,1,True,False,False,True,False
448,0,0,35,121650,0,True,False,False,True,False
449,1,1,55,172639,2,False,False,True,False,False
450,0,1,61,175740,1,False,False,True,True,False
451,0,0,30,220050,2,False,True,False,False,False
452,1,1,29,95200,1,True,False,False,True,False
453,0,0,34,113609,1,True,False,False,True,False
454,0,0,35,143552,2,True,False,False,False,False
455,0,0,31,130973,2,False,True,False,True,False
456,1,1,29,145946,2,True,False,False,False,False
457,0,0,36,126206,1,True,False,False,True,False
458,0,0,35,120426,0,True,False,False,True,False
459,1,1,27,91925,2,True,False,False,True,False
460,0,0,32,129630,2,False,True,False,True,False
461,0,0,37,124268,2,True,False,False,True,False
462,0,0,36,105240,1,True,False,False,True,False
463,1,1,34,162180,0,True,False,False,False,False
464,0,0,38,106552,2,True,False,False,True,False
465,0,0,34,105843,2,True,False,False,True,False
466,0,0,63,138327,1,False,False,True,True,False
467,1,1,29,76154,0,True,False,False,False,True
468,0,0,32,155012,1,False,True,False,True,False
469,1,1,26,114369,1,True,False,False,True,False
470,0,0,35,102839,0,True,False,False,False,True
471,0,1,22,132796,0,True,False,False,True,False
472,1,1,23,89742,2,True,False,False,True,False
473,0,0,28,58615,0,False,True,False,False,True
474,0,0,36,130603,2,True,False,False,False,False
475,0,1,33,110340,0,True,False,False,True,False
476,1,1,26,117729,2,True,False,False,True,False
477,0,0,24,130808,0,False,True,False,True,False
478,0,0,25,147402,2,False,True,False,True,False
479,0,0,39,93567,0,True,False,False,False,True
480,0,0,44,109289,1,True,False,False,True,False
481,1,1,23,98742,0,True,False,False,False,True
482,0,0,26,101270,0,False,True,False,True,False
483,1,1,57,187835,1,False,False,True,True,False
484,1,1,30,140741,0,True,False,False,True,False
485,0,0,44,133265,2,True,False,False,True,False
486,0,0,47,148100,2,True,False,False,False,False
487,0,0,52,131021,2,True,False,False,True,False
488,1,1,62,152620,2,False,False,True,True,False
489,0,0,35,85033,0,True,False,False,False,True
490,0,0,26,114514,1,False,True,False,True,False
491,0,0,26,99307,1,False,True,False,True,False
492,1,1,42,219451,2,False,False,True,False,False
493,1,1,27,114007,0,True,False,False,True,False
494,0,0,38,102846,0,True,False,False,True,False
495,0,0,39,81483,0,True,False,False,False,True
496,0,1,20,107779,2,True,False,False,True,False
497,0,0,29,222360,2,False,True,False,False,False
498,0,0,40,107125,0,True,False,False,True,False
499,0,1,32,80080,0,True,False,False,False,True
500,0,1,28,129600,0,True,False,False,True,False
501,1,1,27,118613,1,True,False,False,True,False
502,0,0,42,146237,1,True,False,False,True,False
503,0,1,49,144461,2,False,False,True,True,False
